NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
,111302,11.21722222,0251616,25.27111111,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111048,11.18000000,0251245,25.21250000,DESTROYED,,2006,,,2006,2006,
,110504,11.08444444,0251850,25.31388889,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110520,11.08888889,0251806,25.30166667,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110453,11.08138889,0251808,25.30222222,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110442,11.07833333,0251626,25.27388889,DESTROYED,,2006,,,2006,2006,
,110452,11.08111111,0251633,25.27583333,DESTROYED,,2006,,,2006,2006,
,110425,11.07361111,0251508,25.25222222,DESTROYED,,2006,,,2006,2006,
,110741,11.12805556,0251515,25.25416667,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110647,11.11305556,0251423,25.23972222,DESTROYED,~100 of ~100,2006,100,100,2006,2006,
,110735,11.12638889,0251253,25.21472222,DESTROYED,,2006,,,2006,2006,
,111156,11.19888889,0251344,25.22888889,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110901,11.15027778,0251644,25.27888889,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110859,11.14972222,0251549,25.26361111,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110826,11.14055556,0251641,25.27805556,DESTROYED, ~25 of ~25,,25,25,,,
,110918,11.15500000,0251544,25.26222222,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110917,11.15472222,0251507,25.25194444,DESTROYED,~75 of ~75,2006,75,75,2006,2006,
,110917,11.15472222,0251425,25.24027778,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110737,11.12694444,0251428,25.24111111,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110709,11.11916667,0251449,25.24694444,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110650,11.11388889,0251544,25.26222222,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110557,11.09916667,0251537,25.26027778,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110556,11.09888889,0251513,25.25361111,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110544,11.09555556,0251449,25.24694444,DESTROYED, ~10 of ~10,2006,10,10,2006,2006,
,110538,11.09388889,0251454,25.24833333,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,111207,11.20194444,0251839,25.31083333,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,111204,11.20111111,0251824,25.30666667,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111139,11.19416667,0251728,25.29111111,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,111312,11.22000000,0251742,25.29500000,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111308,11.21888889,0251939,25.32750000,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111236,11.21000000,0251705,25.28472222,DESTROYED,~10 of ~10,2006,10,10,2006,2006,
,111210,11.20277778,0251625,25.27361111,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111147,11.19638889,0251547,25.26305556,DESTROYED,~10 of ~10,2006,10,10,2006,2006,
,111145,11.19583333,0251601,25.26694444,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,111218,11.20500000,0251519,25.25527778,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,111234,11.20944444,0251504,25.25111111,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,111249,11.21361111,0251454,25.24833333,DESTROYED,~75 of ~75,2006,75,75,2006,2006,
,110622,11.10611111,0251855,25.31527778,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110621,11.10583333,0251923,25.32305556,DESTROYED,~50 of ~50,2006,50,50,2006,2006,
,110757,11.13250000,0251800,25.30000000,DESTROYED,~25 of ~25,2006,25,25,2006,2006,
,110659,11.11638889,0242153,24.36472222,DESTROYED,,,,,,,
,110750,11.13055556,0242148,24.36333333,DESTROYED,~25 of ~25,2008,25,25,2008,2008,
,110653,11.11472222,0242242,24.37833333,DESTROYED, ,2008,,,2008,2008,
TIMSA,110737,11.12694444,0242306,24.38500000,DESTROYED, ,2008,,,2008,2008,
,110724,11.12333333,0242332,24.39222222,DESTROYED, ,2008,,,2008,2008,
BERBERI,110752,11.13111111,0242417,24.40472222,NO DAMAGE, ,,,,,,
,110802,11.13388889,0242442,24.41166667,NO DAMAGE, ,,,,,,
,110730,11.12500000,0242455,24.41527778,NO DAMAGE,  ,,,,,,
,110720,11.12222222,0242652,24.44777778,DESTROYED,,,,,,,
ARADEIBA,110737,11.12694444,0242709,24.45250000,DESTROYED, ,2008,,,2008,2008,
,111024,11.17333333,0242748,24.46333333,DESTROYED, ,2008,,,2008,2008,
,111045,11.17916667,0242733,24.45916667,DESTROYED, ,,,,,,
,111138,11.19388889,0242856,24.48222222,NO DAMAGE, ,,,,,,
,111043,11.17861111,0243135,24.52638889,DESTROYED, ,2008,,,2008,2008,
,110902,11.15055556,0242057,24.34916667,NO DAMAGE, ,,,,,,
